id,name,edible_conversion_factor,energy_kj,energy_kcal,water_g,protein_g,fat_g,carbs_available_g,fiber_g,ash_g,calcium_mg,iron_mg,magnesium_mg,potassium_mg,sodium_mg,zinc_mg,selenium_mcg,retinol_mcg,beta_carotene_eq_mcg,thiamin_mg,riboflavin_mg,niacin_mg,food_folate_mcg,vit_b12_mcg,vit_c_mg,cholesterol_mg,food_group
2016,"Taro, peeled, raw",0.9,411.0,97.0,73,1.8,0.2,20.3,3.5,1.2,51,0.7,20,300,10,0.6,1,0,[30],0.1,0.03,0.7,22,0,12,0.0,"STARCHY ROOTS, TUBERS AND BANANAS"
2017,"Turnip, root, raw",0.77,94.0,22.0,93.1,0.7,[0.2],3.6,1.7,0.8,34,0.5,11,320,29,0.2,1,0,0,0.04,0.04,0.7,15,0,23,0.0,"STARCHY ROOTS, TUBERS AND BANANAS"
2018,"Yam, flour",1,1320.0,312.0,14,3.4,[0.4],67.4,12.8,2,20,1.1,50,818,28,1,2,0,tr,tr,tr,1,43,0,tr,0.0,"STARCHY ROOTS, TUBERS AND BANANAS"
2019,"Yam, white, raw",0.81,475.0,112.0,69,1.9,[0.2],23.7,4.1,1.1,16,0.8,18,295,10,0.27,1,0,0,0.11,0.02,0.4,16,0,[6],0.0,"STARCHY ROOTS, TUBERS AND BANANAS"
2030,"Yam, white, boiled, drained (without salt)",0,500.0,118.0,67.4,2,0.2,24.9,4.3,1.2,16,0.8,17,248,8,0.26,1,0,0,0.09,0.02,0.3,10,0,4,0.0,"STARCHY ROOTS, TUBERS AND BANANAS"
3,LEGUMES AND PULSES,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,UNKNOWN
3001,"Beans, broad, dry, raw",1,1280.0,305.0,10.9,25.7,1.53,35.6,22.9,3.29,96,5.19,135,1190,25,3.55,8,0,29,0.56,0.33,2.41,250,0,1.4,0.0,LEGUMES AND PULSES
3023,"Beans, broad, dry, unsoaked, boiled, drained (without salt)",1,458.0,109.0,68.2,9.2,0.5,12.7,8.2,1.2,31,1.6,42,319,9,1.14,3,0,10,0.13,0.09,0.6,45,0,0,0.0,LEGUMES AND PULSES
3024,"Beans, broad, dry, unsoaked, boiled (without salt, water not discarded)",1,279.0,66.0,80.6,5.6,0.3,7.7,5,0.8,23,1.1,30,259,8,0.77,2,0,6,0.1,0.07,0.4,33,0,0,0.0,LEGUMES AND PULSES
3025,"Beans, broad, dry, water-soaked, boiled in different water, drained (without salt)",1,458.0,109.0,68.2,9.2,0.5,12.7,8.2,1.2,31,1.6,42,319,9,1.14,3,0,10,0.13,0.09,0.6,45,0,0,0.0,LEGUMES AND PULSES
3026,"Beans, broad, dry, water-soaked, boiled in different water (without salt, water not discarded)",1,279.0,66.0,80.6,5.6,0.3,7.7,5,0.8,23,1.1,30,259,8,0.77,2,0,6,0.1,0.07,0.4,33,0,0,0.0,LEGUMES AND PULSES
3002,"Beans, broad, fresh, raw",1,345.0,82.0,75,7.2,0.5,8.7,7.1,1.3,26,1.6,29,275,2,1.1,8,0,195,0.12,0.14,2,284,0,41,0.0,LEGUMES AND PULSES
3027,"Beans, broad, fresh, boiled, drained (without salt)",1,363.0,87.0,73.9,7.5,0.5,9.2,7.5,1.3,26,1.3,18,145,2,0.83,8,0,184,0.08,0.09,1.4,149,0,28,0.0,LEGUMES AND PULSES
3003,"Beans, cluster, fresh, raw",0.86,232.0,55.0,82.9,6.19,0.4,4.4,4.8,1.4,121,5.6,73,301,4,0.61,2,0,241,0.09,0.03,0.7,[41],0,49,0.0,LEGUMES AND PULSES
3028,"Beans, cluster, fresh, boiled, drained (without salt)",1,244.0,58.0,82,6.5,0.4,4.6,5.1,1.4,121,4.4,46,158,3,0.48,2,0,228,0.06,0.02,0.5,22,0,34,0.0,LEGUMES AND PULSES
3004,"Beans, kidney, dry, raw",1,1280.0,305.0,12.1,20.5,2,40.6,21.2,3.6,106,6.4,103,872,22,2.78,4,0,6,0.35,0.18,2.4,272,0,0.3,0.0,LEGUMES AND PULSES
3029,"Beans, kidney, dry, unsoaked, boiled, drained (without salt)",1,491.0,117.0,66.3,7.9,0.8,15.5,8.1,1.4,36,2.1,34,251,8,0.96,2,0,2,0.09,0.05,0.6,52,0,0,0.0,LEGUMES AND PULSES
3030,"Beans, kidney, dry, unsoaked, boiled (without salt, water not discarded)",1,296.0,70.0,79.7,4.7,0.5,9.4,4.9,0.9,27,1.5,25,202,7,0.64,1,0,1,0.06,0.04,0.4,38,0,0,0.0,LEGUMES AND PULSES
3031,"Beans, kidney, dry, water-soaked, boiled in different water, drained (without salt)",1,491.0,117.0,66.3,7.9,0.8,15.5,8.1,1.4,36,2.1,34,251,8,0.96,2,0,2,0.09,0.05,0.6,52,0,0,0.0,LEGUMES AND PULSES
3032,"Beans, kidney, dry, water-soaked, boiled in different water (without salt, water not discarded)",1,296.0,70.0,79.7,4.7,0.5,9.4,4.9,0.9,27,1.5,25,202,7,0.64,1,0,1,0.06,0.04,0.4,38,0,0,0.0,LEGUMES AND PULSES
3005,"Beans, lima, dry, raw",1,1260.0,299.0,13.6,22.4,1.63,39.7,18.2,4.5,64,9.9,158,1447,7,2.6,6,0,0,0.53,0.16,1.5,381,0,1,0.0,LEGUMES AND PULSES
3033,"Beans, lima, dry, unsoaked, boiled, drained (without salt)",1,504.0,120.0,65.4,8.9,0.7,15.9,7.3,1.8,23,3.4,54,434,4,0.95,2,0,0,0.14,0.05,0.4,76,0,0,0.0,LEGUMES AND PULSES
3034,"Beans, lima, dry, unsoaked, boiled (without salt, water not discarded)",1,291.0,69.0,80,5.2,0.4,9.2,4.2,1.1,17,2.3,37,334,4,0.61,1,0,0,0.1,0.04,0.3,53,0,0,0.0,LEGUMES AND PULSES
3035,"Beans, lima, dry, water-soaked, boiled in different water, drained (without salt)",1,504.0,120.0,65.4,8.9,0.7,15.9,7.3,1.8,23,3.4,54,434,4,0.95,2,0,0,0.14,0.05,0.4,76,0,0,0.0,LEGUMES AND PULSES
3036,"Beans, lima, dry, water-soaked, boiled in different water (without salt, water not discarded)",1,291.0,69.0,80,5.2,0.4,9.2,4.2,1.1,17,2.3,37,334,4,0.61,1,0,0,0.1,0.04,0.3,53,0,0,0.0,LEGUMES AND PULSES
3006,"Bean, red, fresh, raw",0.38,553.0,131.0,61.6,12.8,0.4,14.6,9.1,1.5,12,2.4,18,490,3,1,2,0,20,0.18,0.11,2,130,0,27,0.0,LEGUMES AND PULSES
3007,"Beans, shellie, canned, solid & liquids",1,112.0,27.0,90.7,1.8,0.2,2.8,3.4,1.2,29,1,15,109,334,0.27,2,0,137,0.03,0.05,0.21,18,0,3.1,0.0,LEGUMES AND PULSES
3008,"Bonavist, dry, raw",1,1350.0,319.0,10.3,23.1,[1.4],45.3,16.4,3.4,59,7.13,145,1000,18,2.49,8,0,5,0.59,0.17,2.86,23,0,0,0.0,LEGUMES AND PULSES
3037,"Bonavist, dry, unsoaked, boiled, drained (without salt)",1,516.0,122.0,65.6,8.9,0.5,17.4,6.3,1.3,21,2.3,48,289,7,0.86,3,0,2,0.15,0.05,0.7,4,0,0,0.0,LEGUMES AND PULSES
3038,"Bonavist, dry, unsoaked, boiled (without salt, water not discarded)",1,430.0,102.0,71.3,7.4,0.4,14.5,5.2,1.1,21,2.3,47,321,9,0.8,3,0,2,0.15,0.05,0.7,4,0,0,0.0,LEGUMES AND PULSES
3039,"Bonavist, dry, water-soaked, boiled in different water, drained (without salt)",1,516.0,122.0,65.6,8.9,0.5,17.4,6.3,1.3,21,2.3,48,289,7,0.86,3,0,2,0.15,0.05,0.7,4,0,0,0.0,LEGUMES AND PULSES
3040,"Bonavist, dry, water-soaked, boiled in different water (without salt, water not discarded)",1,326.0,77.0,78.3,5.6,0.3,11,4,0.9,16,1.7,36,244,7,0.6,2,0,1,0.11,0.04,0.6,3,0,0,0.0,LEGUMES AND PULSES
3009,"Bonavist, fresh, raw",1,521.0,124.0,63.3,5.8,0.6,18.8,10,1.5,31,2.5,380,762,6,1.12,5,0,519,0.54,0.14,0.52,188,0,0,0.0,LEGUMES AND PULSES
3010,"Chick peas, whole, dry, raw",1,1350.0,323.0,9.9,22.3,5.1,34.3,25.2,3.1,235,6.8,160,1030,25,3.37,41,0,175,0.48,0.16,2.1,400,0,8,0.0,LEGUMES AND PULSES
3041,"Chick peas, whole, dry, unsoaked, boiled, drained (without salt)",1,601.0,143.0,59.9,9.9,2.3,15.3,11.2,1.4,90,2.6,61,342,10,1.35,18,0,78,0.14,0.05,0.6,89,0,2,0.0,LEGUMES AND PULSES
3042,"Chick peas, whole, unsoaked, boiled (without salt, water not discarded)",1,430.0,102.0,71.4,7.1,1.6,10.9,8,1,76,2.2,51,326,10,1.07,13,0,55,0.12,0.05,0.5,76,0,2,0.0,LEGUMES AND PULSES
3043,"Chick peas, whole, dry, water-soaked, boiled in different water, drained (without salt)",1,601.0,143.0,59.9,9.9,2.3,15.3,11.2,1.4,90,2.6,61,342,10,1.35,18,0,78,0.14,0.05,0.6,89,0,2,0.0,LEGUMES AND PULSES
3044,"Chick peas, whole, dry, water-soaked, boiled in different water (without salt, water not discarded)",1,430.0,102.0,71.4,7.1,1.6,10.9,8,1,76,2.2,51,326,10,1.07,13,0,55,0.12,0.05,0.5,76,0,2,0.0,LEGUMES AND PULSES
3011,"Cowpeas, dry, raw",1,1320.0,313.0,12.4,25.3,1.1,43.3,14.3,3.6,112,5.97,322,1380,22,3.37,-,0,19,0.9,0.15,2.4,439,0,1.5,0.0,LEGUMES AND PULSES
3045,"Cowpeas, dry, unsoaked, boiled, drained (without salt)",1,495.0,117.0,67.1,9.5,0.4,16.2,5.4,1.4,37,1.9,103,389,8,1.14,0,0,7,0.22,0.04,0.6,82,0,0,0.0,LEGUMES AND PULSES
3046,"Cowpeas, unsoaked, boiled (without salt, water not discarded)",1,299.0,71.0,80.1,5.7,0.3,9.8,3.2,0.8,27,1.4,74,313,7,0.76,0,0,4,0.16,0.03,0.4,60,0,0,0.0,LEGUMES AND PULSES
